25774444	296.15	65
25774454	296.15	65
25774464	296.15	65
25774474	296.15	65
25774484	296.15	65
25774494	296.15	65
25774504	296.15	65
25774514	296.15	65
25774524	296.15	65
25774534	296.15	65
25774544	296.15	65
25774554	296.15	65
25774564	296.15	65
25774574	296.15	65
25774584	296.15	65
25774594	296.15	65
25774604	296.15	65
25774614	296.15	65
25774624	296.15	65
25774634	296.15	66
25774644	296.15	66
25774654	296.15	66
25774664	296.15	66
25774674	296.15	66
25774684	296.15	66
25774694	296.15	66
25774704	296.15	66
25774714	296.15	66
25774724	296.15	66
25774734	296.15	66
25774744	296.15	66
25774754	296.15	66
25774764	296.15	66
25774774	296.15	66
25774784	296.15	66
25774794	296.15	66
25774804	296.15	66
25774814	296.15	66
25774824	296.15	66
25774834	296.15	66
25774844	296.15	66
25774854	296.15	66
25774864	296.15	67
25774874	296.15	67
25774884	296.15	67
25774894	296.15	67
25774904	296.15	67
25774914	296.15	67
25774924	296.15	67
25774934	296.15	67
25774944	296.15	67
25774954	296.15	68
25774964	296.15	68
25774974	296.15	68
25774984	296.15	68
25774994	296.15	68
25775004	296.15	68
25775014	296.15	68
25775024	296.15	68
25775034	296.15	68
25775044	296.15	68
25775054	296.15	68
25775064	296.15	68
25775074	296.15	68
25775084	296.15	68
25775094	296.15	68
25775104	296.15	68
25775114	296.15	68
25775124	296.15	68
25775134	296.15	68
25775144	296.15	68
25775154	296.15	68
25775164	296.15	68
25775174	296.15	69
25775184	296.15	69
25775194	296.15	69
25775204	296.15	69
25775214	296.15	69
25775224	296.15	69
25775234	296.15	69
25775244	296.15	69
25775254	296.15	69
25775264	296.15	69
25775274	296.15	69
25775284	296.15	69
25775294	296.15	69
25775304	296.15	69
25775314	296.15	69
25775324	296.15	69
25775334	296.15	69
25775344	296.15	69
25775354	296.15	68
25775364	296.15	68
25775374	296.15	68
25775384	296.15	68
25775394	296.15	68
25775404	296.15	68
25775414	296.15	68
25775424	296.15	68
25775434	296.15	67
25775444	296.15	67
25775454	296.15	67
25775464	296.15	67
25775474	296.15	67
25775484	296.15	67
25775494	296.15	67
25775504	296.15	67
25775514	296.15	67
25775524	296.15	66
25775534	296.15	66
25775544	296.15	66
25775554	296.15	66
25775564	296.15	66
25775574	296.15	66
